,duration,views,saves,zpid
1724,38 days,"2,803",93,2062351297
1725,9 days,351,17,115246178
1726,6 days,370,20,234240613
1727,15 hours,82,1,115421567
1728,8 days,"1,132",35,2105900285
1729,80 days,"2,119",84,306348451
1730,11 days,"1,357",114,105865541
1731,44 days,"3,480",143,73511119
1732,2 days,525,18,113383433
1733,4 days,889,32,105874903
1734,29 days,"4,551",216,2086802348
1735,13 days,"1,990",67,2060796002
1736,41 days,"1,481",94,110362801
1737,52 days,"1,352",40,1413895
1738,43 days,"3,844",111,73632021
1739,32 days,"4,923",184,96965136
1740,50 days,"2,765",89,2061291744
1741,16 days,"2,439",76,215061824
1742,8 days,"1,223",66,233920453
1743,5 days,924,72,306438043
1744,5 days,847,27,97267546
1745,5 days,662,19,96914479
1746,24 days,"5,083",147,77523070
1747,46 days,"2,543",120,95200143
1748,8 days,"1,690",74,2093557352
1749,1 day,579,26,2083893342
1750,2 days,382,10,2060682428
