,duration,views,saves
328,3 days,"1,066",80
329,1 day,418,35
330,1 day,250,23
331,2 days,138,16
332,4 days,"1,298",106
333,2 days,499,30
334,3 days,711,40
335,1 day,"1,136",103
336,3 days,887,47
337,4 days,"1,789",121
338,14 days,"6,556",321
339,1 day,353,37
340,40 days,"2,786",120
341,1 day,254,20
342,11 days,"4,989",261
343,73 days,"10,762",363
344,3 days,"1,414",60
345,2 days,406,20
346,4 days,882,76
347,1 day,628,18
348,1 day,284,11
349,1 day,245,12
350,2 days,"1,052",46
351,4 days,"3,470",177
352,62 days,"5,396",280
353,2 days,603,18
354,2 days,363,24
355,2 days,161,16
356,81 days,"2,574",147
357,1 day,248,14
358,3 days,526,44
359,59 days,"9,587",456
360,28 days,"11,233",654
361,185 days,"9,596",350
362,1 day,336,10
363,2 days,152,9
364,4 days,"1,545",41
365,12 days,"8,984",351
366,3 days,796,44
367,10 days,"2,370",184
368,3 days,669,65
369,1 day,440,36
370,2 days,"1,889",168
371,2 days,818,44
372,103 days,"1,891",121
373,80 days,"8,249",363
374,1 day,776,38
375,2 days,413,25
376,1 day,287,12
377,1 day,589,29
378,37 days,"3,028",223
379,2 days,805,26
380,2 days,864,22
381,2 days,508,21
382,2 days,"1,349",99
383,1 day,479,46
384,1 day,217,5
385,1 day,149,12
386,2 days,395,30
387,4 days,"1,199",69
388,1 day,1,0
389,2 days,339,17
390,2 days,619,51
391,2 days,530,22
392,1 day,981,30
393,11 days,"2,423",132
394,12 days,"5,488",216
395,9 days,"4,994",219
396,1 day,749,46
397,1 day,602,35
398,1 day,103,1
399,1 day,226,16
