,Type,Year Built,Heating,Cooling,Parking,Lot,Price/sqft,Buyers Agency Fee,zpid
1645,Single family residence,Built in 1992,Heat pump,Electric,Garage,"4,070 sqft",$154 price/sqft,3.00% buyers agency fee,1392995
1646,Singlefamily,Built in 1975,Other,Wall,No data,0.85 Acres,$30 price/sqft,,115294383
1647,"Single family residence, residential",Built in 1978,Heat pump,Central air,1 Attached garage space,1.86 Acres,$252 price/sqft,3.00% buyers agency fee,1431658
1648,Single family residence,Built in 1927,"Forced air, natural gas",Central air,1 Garage space,"5,227 sqft",$251 price/sqft,,73530223
1649,Single family residence,Built in 1959,Natural gas,Electric,Garage,0.25 Acres,$123 price/sqft,3.00% buyers agency fee,77574099
1650,Single family residence,Built in 1885,"Natural gas, radiant",Central air,1 Garage space,"6,534 sqft",$101 price/sqft,,73666629
1651,Single family residence,Built in 1965,"Forced air, natural gas",Central air,2 Garage spaces,"7,840 sqft",$147 price/sqft,,73451821
1652,Single family residence,Built in 1968,"Forced air, natural gas",Central air,Open parking,"7,840 sqft",$139 price/sqft,,73652240
1653,Single family residence,Built in 2011,"Electric, heat pump, propane tank owned",Electric,Off street,58 Acres,$215 price/sqft,3.00% buyers agency fee,126652375
1654,Single family residence,Built in 1972,"Forced air, natural gas",Central air,2 Attached garage spaces,0.67 Acres,$94 price/sqft,,73652296
1655,Single family residence,Built in 1982,"Electric, heat pump","Electric, heat pump","Driveway, off street",0.40 Acres,$104 price/sqft,3.00% buyers agency fee,116032782
1656,"Single family residence, residential",Built in 1955,No data,Central air,1 Attached garage space,"7,405 sqft",$212 price/sqft,3.00% buyers agency fee,1375639
1657,Single family residence,Built in 1972,"Electric, forced air, heat pump","Central air, heat pump",2 Attached garage spaces,14.99 Acres,$208 price/sqft,,115343387
1658,Mobilemanufactured,,No data,No data,1 Parking space,,$71 price/sqft,,194801987
1659,Condominium,Built in 2004,"Forced air, natural gas",Central air,"Off street, no garage",,$125 price/sqft,,2065153933
1660,Single family residence,Built in 1993,"Forced air, natural gas",Central air,2 Garage spaces,0.40 Acres,$89 price/sqft,,73586529
1661,Single family residence,Built in 1974,"Forced air, heat pump",Electric,Garage,"7,405 sqft",$115 price/sqft,3.00% buyers agency fee,77551880
1662,Single family residence,Built in 1973,"Forced air, natural gas","Electric, heat pump",Garage,"8,125 sqft",$104 price/sqft,2.00% buyers agency fee,226793697
1663,Multi family,,Electric,Central air,No data,,$88 price/sqft,3.00% buyers agency fee,234522175
1664,Single family residence,Built in 1991,"Heat pump, electric",Central air,1 Attached garage space,0.27 Acres,$160 price/sqft,,96939744
